ISO3,period,probability,year,era_mwtemp,era_mwprecip,cru_mwtemp,cru_mwprecip
GTM,1990-2020,0.99,1990,19.259489949544275,5.204137123655528,21.847098350524902,232.86085764567056
GTM,2021-2100,0.99,1990,19.259489949544275,5.204137123655528,21.847098350524902,232.86085764567056
GUY,1990-2020,0.99,1990,25.53687693277999,6.171980407088995,26.339810371398926,270.6560484568278
GUY,2021-2100,0.99,1990,25.53687693277999,6.171980407088995,26.339810371398926,270.6560484568278
HND,1990-2020,0.99,1990,22.37726491292318,5.097304655161376,22.78348429997762,146.56654580434164
HND,2021-2100,0.99,1990,22.37726491292318,5.097304655161376,22.78348429997762,146.56654580434164
HRV,1990-2020,0.9099999999999999,1990,11.852026875813806,2.290038081506888,11.357218518853188,72.13007307052612
HRV,2021-2100,0.94,1990,11.852026875813806,2.290038081506888,11.357218518853188,72.13007307052612
HTI,1990-2020,0.99,1990,24.61940155029299,3.342189719357217,25.05990982055664,113.50472323099773
HTI,2021-2100,0.99,1990,24.61940155029299,3.342189719357217,25.05990982055664,113.50472323099773
HUN,1990-2020,0.87,1990,11.33637644449874,1.4493032164561253,10.914714321494102,41.76920223236084
HUN,2021-2100,0.92,1990,11.33637644449874,1.4493032164561253,10.914714321494102,41.76920223236084
IDN,1990-2020,0.99,1990,24.864902750651083,6.978145005026211,26.31602144241333,203.9826405843099
IDN,2021-2100,0.99,1990,24.864902750651083,6.978145005026211,26.31602144241333,203.9826405843099
IND,1990-2020,0.99,1990,24.730676269531273,3.9756091015685042,25.31351137161255,104.0349041223526
IND,2021-2100,0.99,1990,24.730676269531273,3.9756091015685042,25.31351137161255,104.0349041223526
IRL,1990-2020,0.79,1990,10.059360758463583,2.536407031584531,9.969657381375631,86.34971650441487
IRL,2021-2100,0.77,1990,10.059360758463583,2.536407031584531,9.969657381375631,86.34971650441487
IRN,1990-2020,0.98,1990,14.97077331542971,0.9568348129202301,15.166685576240221,17.649743229150772
IRN,2021-2100,0.98,1990,14.97077331542971,0.9568348129202301,15.166685576240221,17.649743229150772
IRQ,1990-2020,0.009999999999999993,1990,23.078365580240927,0.5390987097134333,21.980320930480957,14.393558600762239
IRQ,2021-2100,0.009999999999999993,1990,23.078365580240927,0.5390987097134333,21.980320930480957,14.393558600762239
ISL,1990-2020,0.17,1990,2.527083333333337,3.7480395403690636,2.382525324821472,73.19513829549153
ISL,2021-2100,0.18000000000000002,1990,2.527083333333337,3.7480395403690636,2.382525324821472,73.19513829549153
ISR,1990-2020,0.99,1990,19.45606384277346,0.7754568262801816,19.485217014948528,26.35202707509355
ISR,2021-2100,0.99,1990,19.45606384277346,0.7754568262801816,19.485217014948528,26.35202707509355
ITA,1990-2020,0.97,1990,13.278288777669275,2.4370799850051603,12.176318009694418,76.37821674346924
ITA,2021-2100,0.98,1990,13.278288777669275,2.4370799850051603,12.176318009694418,76.37821674346924
JAM,1990-2020,0.99,1990,24.82978210449221,3.1136921412932375,24.69938548405965,166.99620246887207
JAM,2021-2100,0.99,1990,24.82978210449221,3.1136921412932375,24.69938548405965,166.99620246887207
JOR,1990-2020,0.99,1990,17.64856872558596,0.4813953152430865,18.249375979105633,16.932703126163688
JOR,2021-2100,0.99,1990,17.64856872558596,0.4813953152430865,18.249375979105633,16.932703126163688
JPN,1990-2020,0.97,1990,14.231182352701865,4.693475416085373,13.717581739028295,147.2641363143921
JPN,2021-2100,0.98,1990,14.231182352701865,4.693475416085373,13.717581739028295,147.2641363143921
KAZ,1990-2020,0.56,1990,7.496814982096396,1.5134901720254372,7.864426791667938,29.489767869313557
KAZ,2021-2100,0.5900000000000001,1990,7.496814982096396,1.5134901720254372,7.864426791667938,29.489767869313557
KEN,1990-2020,0.99,1990,19.791246032714866,4.481864666255812,20.974437554677326,93.69807084401448
KEN,2021-2100,0.99,1990,19.791246032714866,4.481864666255812,20.974437554677326,93.69807084401448
KGZ,1990-2020,0.5900000000000001,1990,7.771844482421898,2.5733157769233608,4.771960650881131,37.24768324693044
KGZ,2021-2100,0.6100000000000001,1990,7.771844482421898,2.5733157769233608,4.771960650881131,37.24768324693044
KHM,1990-2020,0.99,1990,27.558129882812523,3.913268975945054,27.99119774500529,157.34032519658408
KHM,2021-2100,0.99,1990,27.558129882812523,3.913268975945054,27.99119774500529,157.34032519658408
